hmdb_id	kegg_compound_id	name
HMDB00011	C01089	(R)-3-Hydroxybutyric acid
HMDB00023	C01188	(S)-3-Hydroxyisobutyric acid
HMDB00898	C05127	1-Methylhistamine
HMDB00699	C02918	1-Methylnicotinamide
HMDB04234	C05949	12-Keto-leukotriene B4
HMDB02995	C02165	12-Keto-tetrahydro-leukotriene B4
HMDB05089	C04853	12(S)-Leukotriene B4
HMDB05079	C14717	"15-Deoxy-d-12,14-PGJ2"
HMDB04240	C05960	15-Keto-prostaglandin F2a
HMDB03876	C04742	15(S)-HETE
HMDB11136	C14749 	19(S)-HETE 
HMDB01123	C00108	2-Aminobenzoic acid
HMDB01906	C03665	2-Aminoisobutyric acid
HMDB00008	C05984	2-Hydroxybutyric acid
HMDB06059	C05950	20-Carboxyleukotriene B4
HMDB01509	C04853	20-Hydroxy-leukotriene B4
HMDB05998	C14748	20-Hydroxyeicosatetraenoic acid
HMDB01476	C00632	3-Hydroxyanthranilic acid
HMDB02466	C00587	3-Hydroxybenzoic acid
HMDB00022	C05587	3-Methoxytyramine
HMDB00807	C00597	3-Phosphoglyceric acid
HMDB11718	C00633 	4-Hydroxybenzaldehyde 
HMDB00707	C01179	4-Hydroxyphenylpyruvic acid
HMDB00017	C00847	4-Pyridoxic acid
HMDB01161	C01181	4-Trimethylammoniobutanoic acid
HMDB01149	C00430	5-Aminolevulinic acid
HMDB11134	C04805 	5-HETE 
HMDB00472	C00643	5-Hydroxy-L-tryptophan
HMDB00763	C05635	5-Hydroxyindoleacetic acid
HMDB01396	C00440	5-Methyltetrahydrofolic acid
HMDB01227	C00364	5-Thymidylic acid
HMDB02886	C05961	6-Keto-prostaglandin F1a
HMDB04241	C05962	6-Ketoprostaglandin E1
HMDB01316	C00345	6-Phosphogluconic acid
HMDB04679	C14776	8-HETE
HMDB02925	C03242	"8,11,14-Eicosatrienoic acid"
HMDB00895	C01996	Acetylcholine
HMDB00034	C00147	Adenine
HMDB00050	C00212	Adenosine
HMDB00045	C00020	Adenosine monophosphate
HMDB00536	C03794	Adenylsuccinic acid
HMDB00448	C06104	Adipic acid
HMDB01341	C00008	ADP
HMDB00462	C01551	Allantoin
HMDB03345	C00267	Alpha-D-Glucose
HMDB00186	C00243	Alpha-Lactose
HMDB00510	C00956	Aminoadipic acid
HMDB01043	C00219	Arachidonic acid
HMDB00052	C03406	Argininosuccinic acid
HMDB00044	C00072	Ascorbic acid
HMDB01924	C13235	Atenolol
HMDB05006	C06834	Atorvastatin
HMDB01870	C00180	Benzoic acid
HMDB00043	C00719	Betaine
HMDB00054	C00486	Bilirubin
HMDB02013	C02862	Butyrylcarnitine
HMDB00033	C00386	Carnosine
HMDB01546	C00112	CDP
HMDB00885	C11251	CE(16:0)
HMDB00658	C02530	CE(16:1(9Z))
HMDB10368	C02530 	CE(18:0) 
HMDB00918	C14641	CE(18:1(9Z))
HMDB00610	C15441	"CE(18:2(9Z,12Z))"
HMDB10370	C02530 	"CE(18:3(9Z,12Z,15Z)) "
HMDB06736	C02530	"CE(20:3(8Z,11Z,14Z))"
HMDB06726	C02530	"CE(20:4(5Z,8Z,11Z,14Z)"
HMDB06731	C02530	"CE(20:5(5Z,8Z,11Z,14Z,17Z)"
HMDB06733	C02530	"CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB04949	C00195	Ceramide (d18:1/16:0)
HMDB00518	C02528	Chenodeoxycholic acid
HMDB00637	C05466	Chenodeoxycholic acid glycine conjugate
HMDB00619	C00695	Cholic acid
HMDB00619	C00695	Cholic acid
HMDB00097	C00114	Choline
HMDB00072	C00417	cis-Aconitic acid
HMDB00094	C00158	Citric acid
HMDB00904	C00327	Citrulline
HMDB02174	C05776	Cobalamin
HMDB00064	C00300	Creatine
HMDB00562	C00791	Creatinine
HMDB00058	C00575	Cyclic AMP
HMDB01314	C00942	Cyclic GMP
HMDB02991	C01678	Cysteamine
HMDB00089	C00475	Cytidine
HMDB00095	C00055	Cytidine monophosphate
HMDB00630	C00380	Cytosine
HMDB01321	C00279	D-Erythrose 4-phosphate
HMDB00122	C00031	D-Glucose
HMDB00127	C00191	D-Glucuronic acid
HMDB01112	C00118	D-Glyceraldehyde 3-phosphate
HMDB01548	C00117	D-Ribose 5-phosphate
HMDB01202	C00239	dCMP
HMDB00101	C00559	Deoxyadenosine
HMDB00626	C04483	Deoxycholic acid
HMDB00626	C04483	Deoxycholic acid
HMDB00631	C05464	Deoxycholic acid glycine conjugate
HMDB00631	C05464	Deoxycholic acid glycine conjugate
HMDB00014	C00881	Deoxycytidine
HMDB00012	C00526	Deoxyuridine
HMDB07099	C00165	DG(16:0/16:1(9Z)/0:0)
HMDB07102	C00165	DG(16:0/18:1(9Z)/0:0)
HMDB07103	C00165	"DG(16:0/18:2(9Z,12Z)/0:0)"
HMDB07128	C00165	DG(16:1(9Z)/16:1(9Z)/0:0)
HMDB07132	C00165	"DG(16:1(9Z)/18:2(9Z,12Z)/0:0)"
HMDB07218	C00165	DG(18:1(9Z)/18:1(9Z)/0:0)
HMDB07219	C00165	"DG(18:1(9Z)/18:2(9Z,12Z)/0:0)"
HMDB07248	C00165	"DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)"
HMDB01473	C00111	Dihydroxyacetone phosphate
HMDB01539	C03626	Dimethyl-L-arginine
HMDB00092	C01026	Dimethylglycine
HMDB00073	C03758	Dopamine
HMDB01409	C00365	dUMP
HMDB01999	C06428	Eicosapentaenoic acid
HMDB00068	C00788	Epinephrine
HMDB01520	C00061	Flavin Mononucleotide
HMDB00121	C00504	Folic acid
HMDB01058	C00354	"Fructose 1,6-bisphosphate"
HMDB01058	C05378	"Fructose 1,6-bisphosphate"
HMDB00124	C00085	Fructose 6-phosphate
HMDB00124	C05345	Fructose 6-phosphate
HMDB00134	C00122	Fumaric acid
HMDB00112	C00334	Gamma-Aminobutyric acid
HMDB03073	C06426	Gamma-Linolenic acid
HMDB00152	C00628	Gentisic acid
HMDB01514	C00329	Glucosamine
HMDB00125	C00051	Glutathione
HMDB00131	C00116	Glycerol
HMDB00126	C00093	Glycerol 3-phosphate
HMDB00086	C00670	Glycerophosphocholine
HMDB00123	C00037	Glycine
HMDB00138	C01921	Glycocholic acid
HMDB00138	C01921	Glycocholic acid
HMDB00128	C00581	Guanidoacetic acid
HMDB00132	C00242	Guanine
HMDB00133	C00387	Guanosine
HMDB01201	C00035	Guanosine diphosphate
HMDB01397	C00144	Guanosine monophosphate
